family,instance,utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
B,B3,95,true,14,false,79,true,-462506.4,40507.2,46723.2,46723.2,100,0,1001,188901,189902,0.53
B,B3,95,false,15,false,29,true,-460829.6,40212,48326.4,48326.4,100,0,0,208626,208627,0.00
B,B3,95,true,15,false,29,true,-460829.6,40212,48326.4,48326.4,100,0,1001,195025,196026,0.51
B,B3,95,false,16,false,64,true,-661982.4,38718.4,46631.2,46631.2,100,0,0,188026,188026,0.00
B,B3,95,true,16,false,64,true,-661982.4,38718.4,46631.2,46631.2,100,0,1001,190444,191446,0.53
B,B3,95,false,17,false,11,true,-362456.8,37410.4,47332.8,47332.8,100,0,0,193572,193572,0.00
B,B3,95,true,17,false,11,true,-362456.8,37410.4,47332.8,47332.8,100,0,1001,197591,198593,0.51
B,B3,95,false,18,false,11,true,-162656.8,37486.4,46829.6,46829.6,100,0,0,197728,197728,0.00
B,B3,95,true,18,false,11,true,-162656.8,37486.4,46829.6,46829.6,100,0,1001,188617,189619,0.53
B,B3,95,false,19,false,32,true,-560752,40020,48039.2,48039.2,100,0,0,185254,185254,0.00
B,B3,95,true,19,false,32,true,-560752,40020,48039.2,48039.2,100,0,1001,186525,187527,0.54
B,B3,95,false,20,false,26,true,-460963.2,39815.2,48536,48536,100,0,0,186923,186924,0.00
B,B3,95,true,20,false,26,true,-460963.2,39815.2,48536,48536,100,0,1001,186525,187526,0.54
B,B3,95,false,21,false,23,true,-262345.6,38300.8,46928,46928,100,0,0,186156,186156,0.00
B,B3,95,true,21,false,23,true,-262345.6,38300.8,46928,46928,100,0,1001,201768,202770,0.50
B,B3,95,false,22,false,292,true,-461924.8,46423.2,46529.6,46529.6,100,0,0,199011,199011,0.00
B,B3,95,true,22,false,292,true,-461924.8,46423.2,46529.6,46529.6,100,0,1001,188454,189455,0.53
B,B3,95,false,23,false,22,true,-461848.8,38710.4,47545.6,47545.6,100,0,0,185492,185492,0.00
B,B3,95,true,23,false,22,true,-461848.8,38710.4,47545.6,47545.6,100,0,1001,185967,186969,0.54
B,B3,95,false,24,false,13,true,-162553.6,37889.6,46431.2,46431.2,100,0,0,184990,184990,0.00
B,B3,95,true,24,false,13,true,-162553.6,37889.6,46431.2,46431.2,100,0,1001,185984,186985,0.54
B,B3,95,false,25,false,19,true,-261044,39304,48737.6,48737.6,100,0,0,184609,184609,0.00
B,B3,95,true,25,false,19,true,-261044,39304,48737.6,48737.6,100,0,1001,185841,186843,0.54
B,B3,95,false,26,false,17,true,-264144,36191.2,46234.4,46234.4,100,0,0,185087,185087,0.00
B,B3,95,true,26,false,17,true,-264144,36191.2,46234.4,46234.4,100,0,1001,186148,187150,0.54
B,B3,95,false,27,false,146,true,-562155.2,41828,46936,46936,100,0,0,185594,185594,0.00
B,B3,95,true,27,false,146,true,-562155.2,41828,46936,46936,100,0,1002,186332,187335,0.54
B,B3,95,false,28,false,11,true,-361708.8,38118.4,47232.8,47232.8,100,0,0,185037,185037,0.00
B,B3,95,true,28,false,11,true,-361708.8,38118.4,47232.8,47232.8,100,0,1001,185978,186979,0.54
B,B3,95,false,29,false,58,true,-261428,41405.6,48829.6,48829.6,100,0,0,184778,184778,0.00
B,B3,95,true,29,false,58,true,-261428,41405.6,48829.6,48829.6,100,0,1001,186244,187246,0.54
B,B3,95,false,30,false,82,true,-461369.6,41313.6,47236,47236,100,0,0,184943,184943,0.00
B,B3,95,true,30,false,82,true,-461369.6,41313.6,47236,47236,100,0,1001,185702,186703,0.54
C,C1,95,false,1,false,null,false,-3159373.6,0,-148920,-148920,100,0,0,190982,190982,0.00
C,C1,95,true,1,true,0,true,60280,60280,61580,61580,100,3,14,199858,199873,0.01
C,C1,95,false,2,false,null,false,-2961631.2,0,-250920,-250920,100,0,0,203261,203261,0.00
C,C1,95,true,2,true,0,true,60280,60280,61980,61980,100,3,13,201116,201130,0.01
C,C1,95,false,3,false,null,false,-3660295.2,0,-49620,-49620,100,0,0,205290,205290,0.00
C,C1,95,true,3,true,0,true,60280,60280,61980,61980,100,3,14,203790,203805,0.01
C,C1,95,false,4,false,null,false,-3761824.8,0,-249720,-249720,100,0,0,210209,210209,0.00
C,C1,95,true,4,true,0,true,60280,60280,61480,61480,100,3,13,204864,204877,0.01
C,C1,95,false,5,false,207,true,-3160324.8,48280,50680,50680,100,0,0,188355,188355,0.00
C,C1,95,true,5,true,0,true,60280,60280,61380,61380,100,3,13,201048,201061,0.01
C,C1,95,false,6,false,292,true,-3761308,49480,49580,49580,100,0,0,199250,199250,0.00
C,C1,95,true,6,true,0,true,60280,60280,61280,61280,100,3,18,197909,197928,0.01
C,C1,95,false,7,false,262,true,-2960318.4,48280,49480,49480,100,0,0,202290,202290,0.00
C,C1,95,true,7,true,0,true,60280,60280,61780,61780,100,3,13,185433,185447,0.01
C,C1,95,false,8,false,null,false,-2760892.8,0,-49820,-49820,100,0,0,185868,185868,0.00
C,C1,95,true,8,true,0,true,60280,60280,61480,61480,100,3,13,183855,183868,0.01
C,C1,95,false,9,false,null,false,-3560505.6,0,-150626.4,-150626.4,100,0,0,185177,185177,0.00
C,C1,95,true,9,true,0,true,60280,60280,61680,61680,100,3,13,183882,183895,0.01
C,C1,95,false,10,false,null,false,-3260331.2,0,-48320,-48320,100,0,0,185661,185661,0.00
C,C1,95,true,10,true,0,true,60280,60280,61380,61380,100,3,13,184099,184113,0.01
C,C1,95,false,11,false,null,false,-2960480,0,-149620,-149620,100,0,0,185761,185761,0.00
