utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
90,true,3,true,0,true,79840,79840,79840,79840,100,100,1,15171,15172,0.01
90,false,4,true,0,true,44509.6,44509.6,60533.6,60533.6,100,100,0,16204,16204,0.00
90,true,4,true,0,true,79840,79840,79840,79840,100,100,1,15326,15328,0.01
90,false,5,true,0,true,44409.6,44409.6,60140,60140,100,100,0,17985,17985,0.00
90,true,5,true,0,true,79840,79840,79840,79840,100,100,1,30193,30194,0.00
90,false,6,true,0,true,44264.8,44264.8,60133.6,60133.6,100,100,0,22311,22311,0.00
90,true,6,true,0,true,79840,79840,79840,79840,100,100,1,15951,15953,0.01
90,false,7,true,0,true,45196.8,45196.8,60640,60640,100,100,0,17839,17839,0.00
90,true,7,true,0,true,79840,79840,79840,79840,100,100,1,16028,16029,0.01
90,false,8,true,0,true,45577.6,45577.6,60040,60040,100,100,0,17048,17048,0.00
90,true,8,true,0,true,79840,79840,79840,79840,100,100,1,15616,15618,0.01
90,false,9,true,0,true,45716,45716,60540,60540,100,100,0,16642,16642,0.00
90,true,9,true,0,true,79840,79840,79840,79840,100,100,2,16049,16051,0.01
90,false,10,true,0,true,44603.2,44603.2,60840,60840,100,100,0,17660,17660,0.00
90,true,10,true,0,true,79840,79840,79840,79840,100,100,1,15198,15200,0.01
90,false,11,true,0,true,44509.6,44509.6,60140,60140,100,100,0,15847,15847,0.00
90,true,11,true,0,true,79840,79840,79840,79840,100,100,1,15236,15238,0.01
90,false,12,true,0,true,45326.4,45326.4,59833.6,59833.6,100,100,0,15306,15306,0.00
90,true,12,true,0,true,79840,79840,79840,79840,100,100,1,14400,14401,0.01
90,false,13,true,0,true,44796.8,44796.8,60233.6,60233.6,100,100,0,15245,15245,0.00
90,true,13,true,0,true,79840,79840,79840,79840,100,100,1,14391,14392,0.01
90,false,14,true,0,true,44709.6,44709.6,60040,60040,100,100,0,15857,15857,0.00
90,true,14,true,0,true,79840,79840,79840,79840,100,100,1,15427,15428,0.01
90,false,15,true,0,true,45209.6,45209.6,60233.6,60233.6,100,100,0,16843,16843,0.00
90,true,15,true,0,true,79840,79840,79840,79840,100,100,1,15638,15639,0.01
90,false,16,true,0,true,44322.4,44322.4,59027.2,59027.2,100,100,0,15841,15841,0.00
90,true,16,true,0,true,79840,79840,79840,79840,100,100,1,15124,15125,0.01
90,false,17,true,0,true,45935.2,45935.2,60140,60140,100,100,0,15733,15733,0.00
90,true,17,true,0,true,79840,79840,79840,79840,100,100,1,14936,14937,0.01
90,false,18,true,0,true,44848,44848,60640,60640,100,100,0,15824,15824,0.00
90,true,18,true,0,true,79840,79840,79840,79840,100,100,1,14826,14827,0.01
90,false,19,true,0,true,45316,45316,60140,60140,100,100,0,15256,15256,0.00
90,true,19,true,0,true,79840,79840,79840,79840,100,100,1,14425,14427,0.01
90,false,20,true,0,true,44960.8,44960.8,60240,60240,100,100,0,16703,16703,0.00
90,true,20,true,0,true,79840,79840,79840,79840,100,100,1,16197,16198,0.01
90,false,21,true,0,true,44377.6,44377.6,59740,59740,100,100,0,16304,16304,0.00
90,true,21,true,0,true,79840,79840,79840,79840,100,100,1,15811,15812,0.01
90,false,22,true,0,true,45052,45052,60140,60140,100,100,0,16028,16028,0.00
90,true,22,true,0,true,79840,79840,79840,79840,100,100,1,15215,15216,0.01
90,false,23,true,0,true,44409.6,44409.6,60540,60540,100,100,0,16062,16062,0.00
90,true,23,true,0,true,79840,79840,79840,79840,100,100,1,15240,15242,0.01
90,false,24,true,0,true,44448,44448,59633.6,59633.6,100,100,0,15483,15483,0.00
90,true,24,true,0,true,79840,79840,79840,79840,100,100,1,15879,15880,0.01
90,false,25,true,0,true,44052,44052,60040,60040,100,100,0,15932,15932,0.00
90,true,25,true,0,true,79840,79840,79840,79840,100,100,1,17139,17140,0.01
90,false,26,true,0,true,44371.2,44371.2,59627.2,59627.2,100,100,0,16156,16156,0.00
90,true,26,true,0,true,79840,79840,79840,79840,100,100,1,15786,15788,0.01
90,false,27,true,0,true,44303.2,44303.2,59340,59340,100,100,0,17637,17637,0.00
90,true,27,true,0,true,79840,79840,79840,79840,100,100,1,16234,16235,0.01
90,false,28,true,0,true,45196.8,45196.8,61440,61440,100,100,0,15954,15954,0.00
90,true,28,true,0,true,79840,79840,79840,79840,100,100,1,15272,15274,0.01
90,false,29,true,0,true,44628.8,44628.8,60033.6,60033.6,100,100,0,15691,15691,0.00
90,true,29,true,0,true,79840,79840,79840,79840,100,100,1,15175,15176,0.01
90,false,30,true,0,true,44728.8,44728.8,60733.6,60733.6,100,100,0,15841,15841,0.00
