generation,parent_fitness,parent_hc_cov,parent_hc_skills,parent_hc_1shift,parent_hc_forb,parent_soft_pen,objective_delta,survived_generation,became_champion
3,17310,14000,8000,32000,24000,4690,880,true,false
3,16620,9000,6000,40000,23000,5380,235,true,false
3,14605,9000,6000,41000,24000,5395,-985,false,false
3,15645,9000,6000,40000,24000,5355,0,false,false
3,16620,9000,6000,40000,23000,5380,-1970,false,false
3,16190,14000,8000,33000,24000,4810,0,true,false
3,16620,9000,6000,40000,23000,5380,-2080,false,false
3,13740,8000,7000,41000,25000,5260,0,false,false
3,17620,9000,6000,39000,23000,5380,1000,true,false
3,17515,9000,6000,40000,22000,5485,0,true,false
3,16190,14000,8000,33000,24000,4810,1965,true,false
3,15645,9000,6000,40000,24000,5355,-970,false,false
3,17310,14000,8000,32000,24000,4690,-3000,false,false
3,15635,9000,6000,41000,23000,5365,0,false,false
3,17115,13000,8000,33000,24000,4885,-155,true,false
3,17295,14000,8000,34000,22000,4705,-25,true,false
3,18650,10000,6000,38000,22000,5350,0,true,false
3,16665,8000,6000,40000,24000,5335,135,true,false
3,16280,14000,8000,33000,24000,4720,-60,true,false
3,14230,14000,9000,34000,24000,4770,0,false,false
3,16255,14000,8000,33000,24000,4745,-1000,false,false
3,14590,9000,6000,41000,24000,5410,0,false,false
3,14675,9000,6000,41000,24000,5325,0,false,false
3,16620,9000,6000,40000,23000,5380,905,true,false
3,17625,9000,6000,40000,22000,5375,-970,true,false
3,14620,9000,7000,40000,24000,5380,0,false,false
3,16280,14000,8000,33000,24000,4720,0,true,false
3,15640,9000,6000,41000,23000,5360,-1005,false,false
3,16190,14000,8000,33000,24000,4810,0,true,false
3,17620,9000,6000,39000,23000,5380,1000,true,false
3,18650,9000,6000,39000,22000,5350,0,true,false
3,14695,9000,6000,42000,23000,5305,-1135,false,false
3,16430,14000,8000,33000,24000,4570,90,true,false
3,15740,9000,6000,40000,24000,5260,35,false,false
3,16620,9000,6000,40000,23000,5380,95,true,false
3,13175,10000,9000,42000,21000,4825,-1000,false,false
3,16620,9000,6000,40000,23000,5380,0,true,false
3,16620,9000,6000,40000,23000,5380,0,true,false
3,14675,9000,6000,41000,24000,5325,-2130,false,false
3,17620,9000,6000,39000,23000,5380,0,true,false
3,17620,9000,6000,39000,23000,5380,1000,true,false
3,15575,9000,6000,40000,24000,5425,-1015,false,false
3,16280,14000,8000,33000,24000,4720,-970,false,false
3,16615,9000,6000,40000,23000,5385,0,true,false
3,14245,14000,9000,33000,25000,4755,-995,false,false
3,11050,10000,9000,42000,23000,4950,-915,false,false
3,16190,14000,8000,33000,24000,4810,0,true,false
3,14205,14000,8000,35000,24000,4795,-135,false,false
3,15735,9000,6000,40000,24000,5265,0,false,false
