seed,scale_factor,initial_gini,arm,score,hard,hc_coverage,hc_skills,hc_one_shift_per_day,hc_forbidden_successions,final_gini,cv,coverage
1015,2.00,0.5000,Off,5110,11000,2000,0,5000,4000,0.3016,0.5730,0.9802
1015,2.00,0.5000,FullEcology,4885,13000,3000,1000,5000,4000,0.3001,0.5776,0.9703
1016,0.00,0.0000,Off,5585,14000,2000,0,6000,6000,0.0385,0.0689,0.9802
1016,0.00,0.0000,FullEcology,5265,17000,4000,1000,5000,7000,0.0265,0.0478,0.9604
1016,0.25,0.0610,Off,5585,14000,2000,0,6000,6000,0.0552,0.0993,0.9802
1016,0.25,0.0610,FullEcology,5265,17000,4000,1000,5000,7000,0.0507,0.0890,0.9604
1016,0.50,0.1250,Off,5585,14000,2000,0,6000,6000,0.0913,0.1606,0.9802
1016,0.50,0.1250,FullEcology,5265,17000,4000,1000,5000,7000,0.0878,0.1569,0.9604
1016,1.00,0.2500,Off,5585,14000,2000,0,6000,6000,0.1628,0.2963,0.9802
1016,1.00,0.2500,FullEcology,5265,17000,4000,1000,5000,7000,0.1606,0.2990,0.9604
1016,2.00,0.5000,Off,5585,14000,2000,0,6000,6000,0.3060,0.5785,0.9802
1016,2.00,0.5000,FullEcology,5265,17000,4000,1000,5000,7000,0.3062,0.5883,0.9604
1017,0.00,0.0000,Off,5405,10000,1000,2000,1000,6000,0.0361,0.0636,0.9901
1017,0.00,0.0000,FullEcology,5035,14000,5000,0,4000,5000,0.0218,0.0408,0.9505
1017,0.25,0.0610,Off,5405,10000,1000,2000,1000,6000,0.0554,0.0968,0.9901
1017,0.25,0.0610,FullEcology,5035,14000,5000,0,4000,5000,0.0498,0.0885,0.9505
1017,0.50,0.1250,Off,5405,10000,1000,2000,1000,6000,0.0906,0.1585,0.9901
1017,0.50,0.1250,FullEcology,5035,14000,5000,0,4000,5000,0.0868,0.1580,0.9505
1017,1.00,0.2500,Off,5405,10000,1000,2000,1000,6000,0.1609,0.2928,0.9901
1017,1.00,0.2500,FullEcology,5035,14000,5000,0,4000,5000,0.1593,0.3006,0.9505
1017,2.00,0.5000,Off,5405,10000,1000,2000,1000,6000,0.3014,0.5705,0.9901
1017,2.00,0.5000,FullEcology,5035,14000,5000,0,4000,5000,0.3044,0.5894,0.9505
1018,0.00,0.0000,Off,4985,13000,2000,0,4000,7000,0.0413,0.0745,0.9802
1018,0.00,0.0000,FullEcology,5240,16000,7000,0,1000,8000,0.0360,0.0653,0.9406
1018,0.25,0.0610,Off,4985,13000,2000,0,4000,7000,0.0533,0.0971,0.9802
1018,0.25,0.0610,FullEcology,5240,16000,7000,0,1000,8000,0.0562,0.0984,0.9406
1018,0.50,0.1250,Off,4985,13000,2000,0,4000,7000,0.0888,0.1563,0.9802
1018,0.50,0.1250,FullEcology,5240,16000,7000,0,1000,8000,0.0919,0.1621,0.9406
1018,1.00,0.2500,Off,4985,13000,2000,0,4000,7000,0.1615,0.2925,0.9802
1018,1.00,0.2500,FullEcology,5240,16000,7000,0,1000,8000,0.1646,0.3010,0.9406
1018,2.00,0.5000,Off,4985,13000,2000,0,4000,7000,0.3068,0.5784,0.9802
1018,2.00,0.5000,FullEcology,5240,16000,7000,0,1000,8000,0.3101,0.5885,0.9406
1019,0.00,0.0000,Off,5005,15000,7000,1000,4000,3000,0.0384,0.0690,0.9406
1019,0.00,0.0000,FullEcology,5060,15000,6000,0,4000,5000,0.0271,0.0495,0.9406
1019,0.25,0.0610,Off,5005,15000,7000,1000,4000,3000,0.0558,0.0980,0.9406
1019,0.25,0.0610,FullEcology,5060,15000,6000,0,4000,5000,0.0494,0.0872,0.9406
1019,0.50,0.1250,Off,5005,15000,7000,1000,4000,3000,0.0910,0.1599,0.9406
1019,0.50,0.1250,FullEcology,5060,15000,6000,0,4000,5000,0.0858,0.1530,0.9406
1019,1.00,0.2500,Off,5005,15000,7000,1000,4000,3000,0.1636,0.2976,0.9406
1019,1.00,0.2500,FullEcology,5060,15000,6000,0,4000,5000,0.1572,0.2918,0.9406
1019,2.00,0.5000,Off,5005,15000,7000,1000,4000,3000,0.3088,0.5840,0.9406
1019,2.00,0.5000,FullEcology,5060,15000,6000,0,4000,5000,0.3001,0.5755,0.9406
1020,0.00,0.0000,Off,5415,14000,4000,1000,1000,8000,0.0358,0.0665,0.9604
1020,0.00,0.0000,FullEcology,4630,20000,1000,2000,9000,8000,0.0270,0.0487,0.9901
1020,0.25,0.0610,Off,5415,14000,4000,1000,1000,8000,0.0521,0.0922,0.9604
1020,0.25,0.0610,FullEcology,4630,20000,1000,2000,9000,8000,0.0468,0.0827,0.9901
1020,0.50,0.1250,Off,5415,14000,4000,1000,1000,8000,0.0864,0.1528,0.9604
1020,0.50,0.1250,FullEcology,4630,20000,1000,2000,9000,8000,0.0835,0.1488,0.9901
1020,1.00,0.2500,Off,5415,14000,4000,1000,1000,8000,0.1581,0.2888,0.9604
1020,1.00,0.2500,FullEcology,4630,20000,1000,2000,9000,8000,0.1557,0.2893,0.9901
1020,2.00,0.5000,Off,5415,14000,4000,1000,1000,8000,0.3015,0.5717,0.9604
1020,2.00,0.5000,FullEcology,4630,20000,1000,2000,9000,8000,0.3003,0.5762,0.9901
1021,0.00,0.0000,Off,4815,15000,2000,0,4000,9000,0.0372,0.0657,0.9802
1021,0.00,0.0000,FullEcology,5225,16000,9000,1000,2000,4000,0.0262,0.0490,0.9109
1021,0.25,0.0610,Off,4815,15000,2000,0,4000,9000,0.0622,0.1093,0.9802
1021,0.25,0.0610,FullEcology,5225,16000,9000,1000,2000,4000,0.0538,0.0952,0.9109
1021,0.50,0.1250,Off,4815,15000,2000,0,4000,9000,0.0992,0.1756,0.9802
1021,0.50,0.1250,FullEcology,5225,16000,9000,1000,2000,4000,0.0912,0.1642,0.9109
1021,1.00,0.2500,Off,4815,15000,2000,0,4000,9000,0.1720,0.3158,0.9802
1021,1.00,0.2500,FullEcology,5225,16000,9000,1000,2000,4000,0.1643,0.3072,0.9109
1021,2.00,0.5000,Off,4815,15000,2000,0,4000,9000,0.3175,0.6037,0.9802
1021,2.00,0.5000,FullEcology,5225,16000,9000,1000,2000,4000,0.3107,0.5980,0.9109
1022,0.00,0.0000,Off,4685,16000,5000,0,1000,10000,0.0335,0.0597,0.9505
1022,0.00,0.0000,FullEcology,5300,14000,7000,1000,0,6000,0.0272,0.0482,0.9406
1022,0.25,0.0610,Off,4685,16000,5000,0,1000,10000,0.0551,0.0966,0.9505
1022,0.25,0.0610,FullEcology,5300,14000,7000,1000,0,6000,0.0546,0.0954,0.9406
1022,0.50,0.1250,Off,4685,16000,5000,0,1000,10000,0.0914,0.1614,0.9505
1022,0.50,0.1250,FullEcology,5300,14000,7000,1000,0,6000,0.0915,0.1639,0.9406
1022,1.00,0.2500,Off,4685,16000,5000,0,1000,10000,0.1635,0.3002,0.9505
1022,1.00,0.2500,FullEcology,5300,14000,7000,1000,0,6000,0.1638,0.3054,0.9406
1022,2.00,0.5000,Off,4685,16000,5000,0,1000,10000,0.3078,0.5857,0.9505
1022,2.00,0.5000,FullEcology,5300,14000,7000,1000,0,6000,0.3085,0.5930,0.9406
1023,0.00,0.0000,Off,5745,15000,5000,1000,3000,6000,0.0338,0.0598,0.9505
1023,0.00,0.0000,FullEcology,4835,16000,4000,2000,6000,4000,0.0312,0.0557,0.9604
1023,0.25,0.0610,Off,5745,15000,5000,1000,3000,6000,0.0504,0.0888,0.9505
1023,0.25,0.0610,FullEcology,4835,16000,4000,2000,6000,4000,0.0495,0.0876,0.9604
1023,0.50,0.1250,Off,5745,15000,5000,1000,3000,6000,0.0867,0.1522,0.9505
1023,0.50,0.1250,FullEcology,4835,16000,4000,2000,6000,4000,0.0869,0.1533,0.9604
1023,1.00,0.2500,Off,5745,15000,5000,1000,3000,6000,0.1591,0.2912,0.9505
1023,1.00,0.2500,FullEcology,4835,16000,4000,2000,6000,4000,0.1603,0.2949,0.9604
1023,2.00,0.5000,Off,5745,15000,5000,1000,3000,6000,0.3041,0.5780,0.9505
1023,2.00,0.5000,FullEcology,4835,16000,4000,2000,6000,4000,0.3070,0.5858,0.9604
1024,0.00,0.0000,Off,4865,18000,6000,0,5000,7000,0.0370,0.0674,0.9406
1024,0.00,0.0000,FullEcology,5455,14000,6000,1000,3000,4000,0.0220,0.0393,0.9505
1024,0.25,0.0610,Off,4865,18000,6000,0,5000,7000,0.0564,0.0999,0.9406
1024,0.25,0.0610,FullEcology,5455,14000,6000,1000,3000,4000,0.0514,0.0922,0.9505
1024,0.50,0.1250,Off,4865,18000,6000,0,5000,7000,0.0927,0.1632,0.9406
1024,0.50,0.1250,FullEcology,5455,14000,6000,1000,3000,4000,0.0880,0.1621,0.9505
1024,1.00,0.2500,Off,4865,18000,6000,0,5000,7000,0.1656,0.3021,0.9406
1024,1.00,0.2500,FullEcology,5455,14000,6000,1000,3000,4000,0.1598,0.3036,0.9505
1024,2.00,0.5000,Off,4865,18000,6000,0,5000,7000,0.3113,0.5899,0.9406
1024,2.00,0.5000,FullEcology,5455,14000,6000,1000,3000,4000,0.3033,0.5897,0.9505
1025,0.00,0.0000,Off,5645,11000,3000,0,4000,4000,0.0335,0.0596,0.9802
1025,0.00,0.0000,FullEcology,4945,15000,6000,0,4000,5000,0.0300,0.0532,0.9406
1025,0.25,0.0610,Off,5645,11000,3000,0,4000,4000,0.0507,0.0895,0.9802
1025,0.25,0.0610,FullEcology,4945,15000,6000,0,4000,5000,0.0452,0.0809,0.9406
1025,0.50,0.1250,Off,5645,11000,3000,0,4000,4000,0.0876,0.1542,0.9802
1025,0.50,0.1250,FullEcology,4945,15000,6000,0,4000,5000,0.0820,0.1459,0.9406
1025,1.00,0.2500,Off,5645,11000,3000,0,4000,4000,0.1612,0.2955,0.9802
1025,1.00,0.2500,FullEcology,4945,15000,6000,0,4000,5000,0.1550,0.2869,0.9406
1025,2.00,0.5000,Off,5645,11000,3000,0,4000,4000,0.3084,0.5869,0.9802
1025,2.00,0.5000,FullEcology,4945,15000,6000,0,4000,5000,0.3009,0.5763,0.9406
1026,0.00,0.0000,Off,4890,10000,5000,1000,1000,3000,0.0424,0.0768,0.9505
1026,0.00,0.0000,FullEcology,5140,18000,5000,1000,4000,8000,0.0253,0.0451,0.9505
1026,0.25,0.0610,Off,4890,10000,5000,1000,1000,3000,0.0710,0.1251,0.9505
1026,0.25,0.0610,FullEcology,5140,18000,5000,1000,4000,8000,0.0497,0.0871,0.9505
1026,0.50,0.1250,Off,4890,10000,5000,1000,1000,3000,0.1080,0.1915,0.9505
1026,0.50,0.1250,FullEcology,5140,18000,5000,1000,4000,8000,0.0866,0.1550,0.9505
1026,1.00,0.2500,Off,4890,10000,5000,1000,1000,3000,0.1801,0.3303,0.9505
1026,1.00,0.2500,FullEcology,5140,18000,5000,1000,4000,8000,0.1588,0.2963,0.9505
1026,2.00,0.5000,Off,4890,10000,5000,1000,1000,3000,0.3244,0.6154,0.9505
1026,2.00,0.5000,FullEcology,5140,18000,5000,1000,4000,8000,0.3033,0.5836,0.9505
1027,0.00,0.0000,Off,5010,15000,5000,0,6000,4000,0.0353,0.0641,0.9505
1027,0.00,0.0000,FullEcology,4505,13000,4000,0,2000,7000,0.0308,0.0560,0.9604
1027,0.25,0.0610,Off,5010,15000,5000,0,6000,4000,0.0523,0.0943,0.9505
1027,0.25,0.0610,FullEcology,4505,13000,4000,0,2000,7000,0.0531,0.0941,0.9604
1027,0.50,0.1250,Off,5010,15000,5000,0,6000,4000,0.0883,0.1558,0.9505
1027,0.50,0.1250,FullEcology,4505,13000,4000,0,2000,7000,0.0901,0.1601,0.9604
1027,1.00,0.2500,Off,5010,15000,5000,0,6000,4000,0.1593,0.2912,0.9505
1027,1.00,0.2500,FullEcology,4505,13000,4000,0,2000,7000,0.1627,0.3005,0.9604
1027,2.00,0.5000,Off,5010,15000,5000,0,6000,4000,0.3013,0.5718,0.9505
