env,penalty,mode,seed,gen,dist0,dist2,dist5,dist10
StaticNull,200,GA,114,350,0.00,0.00,0.00,38.00
StaticNull,200,GA,114,400,0.00,0.00,0.00,18.00
StaticNull,200,GA,114,450,0.00,0.00,0.00,27.00
StaticNull,200,GA,114,500,0.00,0.00,1.00,44.00
StaticNull,200,GA,114,550,0.00,0.00,0.00,32.00
StaticNull,200,GA,114,600,0.00,0.00,0.00,37.00
StaticNull,200,GA,114,650,0.00,0.00,0.00,25.00
StaticNull,200,GA,114,700,0.00,0.00,0.00,34.00
StaticNull,200,GA,114,750,0.00,0.00,0.00,14.00
StaticNull,200,GA,114,800,0.00,0.00,0.00,33.00
StaticNull,200,GA,114,850,0.00,0.00,0.00,23.00
StaticNull,200,GA,114,900,0.00,0.00,0.00,21.00
StaticNull,200,GA,114,950,0.00,0.00,0.00,18.00
StaticNull,200,GA,114,1000,0.00,0.00,0.00,26.00
StaticNull,200,GA,115,0,0.00,0.00,0.00,52.00
StaticNull,200,GA,115,50,0.00,0.00,0.00,6.00
StaticNull,200,GA,115,100,0.00,0.00,0.00,19.00
StaticNull,200,GA,115,150,0.00,0.00,0.00,23.00
StaticNull,200,GA,115,200,0.00,0.00,0.00,23.00
StaticNull,200,GA,115,250,0.00,0.00,0.00,9.00
StaticNull,200,GA,115,300,0.00,0.00,0.00,11.00
StaticNull,200,GA,115,350,0.00,0.00,0.00,15.00
StaticNull,200,GA,115,400,0.00,0.00,0.00,12.00
StaticNull,200,GA,115,450,0.00,0.00,0.00,17.00
StaticNull,200,GA,115,500,0.00,0.00,0.00,13.00
StaticNull,200,GA,115,550,0.00,0.00,0.00,33.00
StaticNull,200,GA,115,600,0.00,0.00,0.00,44.00
StaticNull,200,GA,115,650,0.00,0.00,0.00,17.00
StaticNull,200,GA,115,700,0.00,0.00,0.00,15.00
StaticNull,200,GA,115,750,0.00,0.00,0.00,14.00
StaticNull,200,GA,115,800,0.00,0.00,0.00,28.00
StaticNull,200,GA,115,850,0.00,0.00,0.00,25.00
StaticNull,200,GA,115,900,0.00,0.00,0.00,28.00
StaticNull,200,GA,115,950,0.00,0.00,0.00,33.00
StaticNull,200,GA,115,1000,0.00,0.00,0.00,31.00
StaticNull,200,GA,116,0,0.00,0.00,1.00,45.00
StaticNull,200,GA,116,50,0.00,0.00,0.00,18.00
StaticNull,200,GA,116,100,0.00,0.00,0.00,27.00
StaticNull,200,GA,116,150,0.00,0.00,0.00,45.00
StaticNull,200,GA,116,200,0.00,0.00,1.00,46.00
StaticNull,200,GA,116,250,0.00,0.00,0.00,16.00
StaticNull,200,GA,116,300,0.00,0.00,0.00,34.00
StaticNull,200,GA,116,350,0.00,0.00,0.00,32.00
StaticNull,200,GA,116,400,0.00,0.00,0.00,43.00
StaticNull,200,GA,116,450,0.00,0.00,0.00,34.00
StaticNull,200,GA,116,500,0.00,0.00,0.00,41.00
StaticNull,200,GA,116,550,0.00,0.00,1.00,37.00
