date,ticker,decision_id,cohort,direction,entry_price,ts,oqs_prev,oqs_new,oqs_delta,action_prev,action_new,target_move,stop_move,classification,ret_5m,ret_15m,ret_30m,ret_60m,mfe_after,mae_after,h300_ret
2026-09-15,SUNPHARMA_NS,,ASOF,1,1830.400024,1789447140,66,53,-13,ACT,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,0.000874112750776477,0.0027862630753549256,0.0020213896074213937,0.0007101874753225908,0.018465869060693897,-0.0011472766304307207,-0.000792
2026-09-15,TCS_NS,,ASOF,1,2293.600098,1789447140,18,24,6,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_UP,0.0013515229505693504,0.0031391482911094257,0.002528690310402189,0.010071438866791987,0.012731055798954326,-0.05685391579021675,-0.003758
2026-09-15,TITAN_NS,,ASOF,1,4921.5,1789447140,86,79,-7,ACT,ACT,UNCHANGED,UNCHANGED,OQS_DOWN,-0.00030478512648582747,0.0005079752108097125,-0.0001015950421619425,-0.004571776897287412,0.0023366859697246775,-0.015544041450777202,-0.000305
2026-09-15,TORNTPHARM_NS,,ASOF,1,4910.5,1789447140,59,51,-8,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN,0.0008145809998981774,0.0003054678749618165,0.0,-0.0018328072497708992,0.0018328072497708992,-0.0314631911210671,0.000815
2026-09-15,TVSMOTOR_NS,,ASOF,1,4088.0,1789447140,72,66,-6,ACT,ACT,UNCHANGED,UNCHANGED,OQS_DOWN,0.001223091976516634,0.0005626342534552348,-0.0003914133210004892,-0.003082215669337084,0.018150732708537183,-0.02093935852647994,0.001223
2026-09-15,BAJFINANCE_NS,,ASOF,1,1017.900024,1789447200,72,80,8,ACT,ACT,UNCHANGED,UNCHANGED,OQS_UP,0.0010806326496362964,9.8217897281403e-05,-0.001375404231250937,-0.005501558183509072,0.009725930439829687,-0.012181966507154763,0.001572
2026-09-15,BANDHANBNK_NS,,ASOF,1,176.320007,1789447200,24,28,4,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_UP,0.008166897967715789,0.010095275821510267,0.010662374510013397,0.004877414029261274,0.011626520166752807,-0.03958717323615679,-0.008507
2026-09-15,BANKBARODA_NS,,ASOF,1,235.449997,1789447200,22,29,7,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_UP,-2.1982505570211626e-10,0.0012317200970873925,0.0016989131816197425,-0.0019112210903956656,0.004247186073407303,-0.013590983396784653,0.000892
2026-09-15,CANBK_NS,,ASOF,1,123.300003,1789447200,18,22,4,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_UP,-0.0008110790699479244,-0.0003244190007808438,-0.000729958745640481,-0.001865395779234369,0.014355203988309837,-0.01184109186201219,8.1e-05
2026-09-15,GODREJPROP_NS,,ASOF,1,1691.5,1789447200,79,57,-22,ACT,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,-0.00047298186705586756,0.002837746868533846,0.0005911912503694946,-0.004729530002955957,0.00632571751219332,-0.025953310324600947,5.9e-05
2026-09-15,HDFCLIFE_NS,,ASOF,1,527.150024,1789447200,18,22,4,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_UP,-0.0013279175966968756,-0.0008536693018698987,-0.004458002655864966,-0.004837424448381568,0.06335950350439275,-0.020961866472498786,-0.001233
2026-09-15,HEROMOTOCO_NS,,ASOF,1,5253.5,1789447200,86,93,7,ACT,ACT,UNCHANGED,UNCHANGED,OQS_UP,0.001237270391167793,-0.00047587322737222806,0.004473208337298943,0.0035214618825544874,0.01646521366707909,-0.016655562958027982,0.002094
2026-09-15,LICI_NS,,ASOF,1,398.100006,1789447200,45,51,6,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_UP,-0.0012559655587756574,-0.0017583825495235802,-0.0025119313775754694,-0.005651845924574999,0.01934182787469926,-0.028636005076997557,-0.000126
2026-09-15,MARICO_NS,,ASOF,1,799.400024,1789447200,60,66,6,MONITOR,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,-0.0012509376481298809,-0.0005004052889545952,-0.000938203106605774,-0.004065548521846842,0.03365019137523659,-0.010195176076201906,-0.000688
2026-09-15,MPHASIS_NS,,ASOF,1,2376.300049,1789447200,51,45,-6,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN,0.003997811569344059,0.010183878509022434,0.014307957382079343,0.011698879806003006,0.02217731343404103,-0.03631698321780405,0.006523
