ticker,date,entry_price,b_realized,b_mfe,b_mae,b_duration,b_round_trip,b_exit_ts,b_exit_reason,m_realized,m_mfe,m_mae,m_duration,m_round_trip,m_exit_ts,m_exit_reason,triggered,trigger_bar,trigger_ts,trigger_return,imv,profit_capture
HAVELLS_NS,20260915,1105.5,-0.016915378717209408,0.010402532790592492,-0.022071482961612394,300,1,1789461900,H300,0.0004999999999998487,0.010402532790592492,-0.0013568521031207597,17,0,1789444860,E4-PP-050,1,0.0,1789443900.0,0.010402532790592492,0.017415378717209256,0.0480652173912898
HDFCLIFE_NS,20260915,527.150024,-0.010054155691478314,0.006070286332638903,-0.01233045488002772,300,1,1789461900,H300,0.0003793067947151789,0.006070286332638903,0.00018965379009442982,24,0,1789445280,E4-PP-050,1,1.0,1789443960.0,0.006070286332638903,0.010433462486193493,0.06248581597802239
HEROMOTOCO_NS,20260915,5253.5,-0.0016179689730655754,0.013895498239269059,-0.0019034929094889123,300,1,1789461900,H300,0.0004999999999998947,0.013895498239269059,0.00047587322737222806,63,0,1789447620,E4-PP-050,1,0.0,1789443900.0,0.007233273056057866,0.0021179689730654702,0.06912499999998545
HINDUNILVR_NS,20260915,1951.0,-0.004279856483854387,-0.004100461301896463,-0.007380842857028447,1,0,1789443900,STOP,-0.004279856483854387,-0.004100461301896463,-0.007380842857028447,1,0,1789443900,STOP,0,,,,0.0,
ICICIBANK_NS,20260915,1356.300049,-0.0019465080768421197,0.02049688533627529,-0.0019907640761741537,113,1,1789450620,STOP,0.0004999999999999469,0.02049688533627529,-1.2672339326811846e-10,51,0,1789446900,E4-PP-050,1,0.0,1789443900.0,0.02049688533627529,0.0024465080768420666,0.02439395019276657
INDHOTEL_NS,20260915,725.950012,-0.006625817095516528,0.01556579353014734,-0.007231902618893771,248,1,1789458720,STOP,0.0004999999999999206,0.01556579353014734,-0.0006887523723448401,15,0,1789444740,E4-PP-050,1,0.0,1789443900.0,0.01556579353014734,0.0071258170955164485,0.03212171605845448
INDUSINDBK_NS,20260915,967.799988,-0.0069332383583372735,0.014465798684189244,-0.007439566546122426,114,1,1789450680,STOP,0.00030996857786437087,0.014465798684189244,-2.1391944346909045e-10,7,0,1789444260,E4-PP-050,1,0.0,1789443900.0,0.014465798684189244,0.007243206936201644,0.021427685026693948
INDUSTOWER_NS,20260915,384.450012,-0.0014826687012823392,0.01573673510510902,-0.0015606863773082419,65,1,1789447740,STOP,0.0002600488746212728,0.01573673510510902,0.0002600488746212728,21,0,1789445100,E4-PP-050,1,0.0,1789443900.0,0.01573673510510902,0.001742717575903612,0.016524957234416843
INFY_NS,20260915,1082.699951,-0.007204144212561763,0.013761914898190888,-0.00997499498911269,300,1,1789461900,H300,0.0004999999999999977,0.013761914898190888,-0.005079892931596757,37,0,1789446060,E4-PP-050,1,1.0,1789443960.0,0.008682021807847523,0.007704144212561761,0.05759027229671973
JUBLFOOD_NS,20260915,468.200012,-0.0070483084556513,0.010145237260334018,-0.014096552172844433,300,1,1789462080,H300,0.0004999999999998905,0.010145237260334018,-0.000320427601849923,41,0,1789446300,E4-PP-050,1,0.0,1789443900.0,0.005446364661776183,0.0075483084556511905,0.09180435594204762
LICI_NS,20260915,398.100006,-0.0001256116534697973,0.016076347409047745,-0.0005024167307237684,9,1,1789444380,STOP,-0.0005024167307237684,0.016076347409047745,-0.0005024167307237684,9,1,1789444380,E4-PP-050,1,0.0,1789443900.0,0.016076347409047745,-0.0003768050772539711,-0.03125192047299307
LT_NS,20260915,3858.0,-0.0045749092794194115,0.026179367547952307,-0.005184033177812338,123,1,1789451220,STOP,0.0004999999999999047,0.026179367547952307,-0.0001814285048924313,34,0,1789445880,E4-PP-050,1,0.0,1789443900.0,0.026179367547952307,0.0050749092794193165,0.01909900990098646
LUPIN_NS,20260915,2074.600098,-0.004916704509019979,0.009881422292427807,-0.005495105702113434,300,1,1789461900,H300,0.0004999999999999498,0.009881422292427807,4.813128658934008e-05,53,0,1789447020,E4-PP-050,1,0.0,1789443900.0,0.009881422292427807,0.005416704509019929,0.05060000323871421
M&M_NS,20260915,3094.199951,-0.005778537677961424,0.007691826442020373,-0.0061405210164212345,134,1,1789451880,STOP,-0.00038780654741211827,0.007691826442020373,-0.001680547825721317,2,1,1789443960,E4-PP-050,1,0.0,1789443900.0,0.007691826442020373,0.005390731130549306,-0.05041800544192403
MARICO_NS,20260915,799.400024,-6.260747130341637e-05,0.011946444733946142,-0.0047536255941650184,300,1,1789461900,H300,0.000499999999999907,0.011946444733946142,0.00031273505949065326,42,0,1789446360,E4-PP-050,1,0.0,1789443900.0,0.010695506567849714,0.0005626074713033233,0.046748603895292624
MARUTI_NS,20260915,12377.0,-0.002654116506423234,0.0068675769572594325,-0.0028278258059303545,88,1,1789449120,STOP,0.0005000000000000165,0.0068675769572594325,0.00024238506907974468,55,0,1789447140,E4-PP-050,1,0.0,1789443900.0,0.0068675769572594325,0.0031541165064232503,0.07280588235294358
MPHASIS_NS,20260915,2376.300049,-0.003156167157860015,0.035643626332307526,-0.004881579593876003,300,1,1789461900,H300,0.0004999999999999659,0.035643626332307526,0.00021041106670660828,46,0,1789446600,E4-PP-050,1,0.0,1789443900.0,0.011151790296548135,0.003656167157859981,0.04483585027192747
MUTHOOTFIN_NS,20260915,2771.800049,-0.005545150706503977,0.007323778157653844,-0.006061060936217605,126,1,1789451400,STOP,0.0004999999999999037,0.007323778157653844,-6.200842104790486e-11,4,0,1789444080,E4-PP-050,1,0.0,1789443900.0,0.007323778157653844,0.006045150706503881,0.06827077353201501
NAUKRI_NS,20260915,1282.599976,-0.005223726579843215,0.02136287580906678,-0.007172892373371969,300,1,1789461900,H300,0.0004999999999999225,0.02136287580906678,-0.00038983348153631155,38,0,1789446120,E4-PP-050,1,0.0,1789443900.0,0.011149266085798313,0.005723726579843137,0.04484600117641926
NESTLEIND_NS,20260915,1379.599976,-0.0027906466127685476,0.010727782452543716,-0.003116792727368799,74,1,1789448280,STOP,0.0005000000000000032,0.010727782452543716,0.0004348906801336668,47,0,1789446660,E4-PP-050,1,0.0,1789443900.0,0.007465967376954007,0.0032906466127685507,0.06697055783332327
NMDC_NS,20260915,81.839996,-0.00965289573379484,0.012829954068527058,-0.00965289573379484,300,1,1789461900,H300,0.0004999999999999093,0.012829954068527058,0.00036665136911824813,35,0,1789445940,E4-PP-050,1,0.0,1789443900.0,0.012829954068527058,0.01015289573379475,0.03897130085807951
NTPC_NS,20260915,327.700012,-0.0025938537240102087,0.017088726237119378,-0.0025938537240102087,300,1,1789461900,H300,0.0004999999999998824,0.017088726237119378,0.0003050832752753601,34,0,1789445880,E4-PP-050,1,0.0,1789443900.0,0.017088726237119378,0.003093853724010091,0.029259056120508525
PAGEIND_NS,20260915,35200.0,-0.004742897727272644,0.008664772727272728,-0.004971590909090909,98,1,1789449780,STOP,0.0004999999999999587,0.008664772727272728,0.0,51,0,1789446900,E4-PP-050,1,0.0,1789443900.0,0.008664772727272728,0.005242897727272603,0.05770491803278212
