cohort_label,as_of_cohort,evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-AUROPHARMA_NS,2026-03-23T03:45:00Z,AUROPHARMA.NS,SHORT,NoTrade,Unfavourable,0.242857,140,StateOnly,1.043275,3.0,1278.7000,1217.4201,1337.4379,NO_TRADE,3,false,false,false,0.018222,-0.040119,-0.027763,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-AXISBANK_NS,2026-03-23T03:45:00Z,AXISBANK.NS,LONG,Watch,Mixed,0.369369,111,Exact,1.057676,4.0,1170.6000,1213.1710,1130.3504,TARGET,2,true,false,false,0.058432,-0.000854,0.036367,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BAJAJ-AUTO_NS,2026-03-23T03:45:00Z,BAJAJ-AUTO.NS,LONG,Watch,Mixed,0.373494,83,Exact,0.848797,4.0,8776.0000,9005.5837,8505.5186,TARGET,1,true,false,false,0.028088,0.000000,0.026160,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BAJAJFINSV_NS,2026-03-23T03:45:00Z,BAJAJFINSV.NS,LONG,NoTrade,Unfavourable,0.284722,144,Exact,0.979785,3.0,1675.5000,1736.4820,1613.2598,NO_TRADE,2,false,false,false,0.053417,-0.002447,0.036396,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BAJFINANCE_NS,2026-03-23T03:45:00Z,BAJFINANCE.NS,LONG,Watch,Mixed,0.315068,146,Exact,1.113715,3.0,812.6000,843.4337,784.9145,TARGET,1,true,false,false,0.050948,0.000000,0.037945,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BANDHANBNK_NS,2026-03-23T03:45:00Z,BANDHANBNK.NS,SHORT,NoTrade,Unfavourable,0.266667,60,Exact,1.200480,3.0,148.3400,138.6699,156.3951,NO_TRADE,3,false,false,false,0.016381,-0.048268,-0.003843,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BANKBARODA_NS,2026-03-23T03:45:00Z,BANKBARODA.NS,LONG,Buy,Favourable,0.416667,96,Exact,0.844595,3.5,265.9000,277.7794,251.8347,RISK,4,false,true,false,0.043437,-0.072584,-0.052897,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BERGEPAINT_NS,2026-03-23T03:45:00Z,BERGEPAINT.NS,LONG,NoTrade,Unfavourable,0.234375,128,Exact,0.895055,4.0,405.4500,420.1745,388.9991,NO_TRADE,1,false,false,false,0.036503,0.000000,0.036316,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BHARTIARTL_NS,2026-03-23T03:45:00Z,BHARTIARTL.NS,LONG,Watch,Mixed,0.338028,71,Exact,1.459699,4.0,1795.9000,1867.8366,1746.6182,HORIZON,4,false,false,true,0.033966,-0.011916,-0.007517,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BOSCHLTD_NS,2026-03-23T03:45:00Z,BOSCHLTD.NS,LONG,NoTrade,Unfavourable,0.285714,98,Exact,0.839421,3.0,29135.0000,30114.4427,27968.1929,NO_TRADE,1,false,false,false,0.038270,0.000000,0.033617,false
