timestamp,volatility_1m_std_24h,upside_excursion_24h,downside_excursion_24h,trend_dir,past_volatility_24h,past_trend_dir,delta_volatility,delta_upside,delta_downside,reversal_60m,vol_expansion_60m,excursion_exceeded_60m,reversal_120m,vol_expansion_120m,excursion_exceeded_120m,reversal_300m,vol_expansion_300m,excursion_exceeded_300m
1784463900000,0.00023445704150849947,0.013526636972526878,-0.0021402432660496376,1,0.00022251482718656113,1,1.1942214321938345e-05,-0.0012734833028568895,-7.806714071336568e-05,1,1,0,0,1,0,0,1,0
1784463960000,0.0002358755730511119,0.013461655458370142,-0.0022042203097140584,1,0.00022250877419922906,1,1.3366798851882844e-05,-0.001394423204193796,-0.00019707274617472483,0,1,0,0,1,0,0,1,0
1784464020000,0.0002357043114555064,0.013095479986969685,-0.0025647355181796687,1,0.0002225087741583243,1,1.3195537297182086e-05,-0.0017607572067036194,-0.0005577438515377989,0,1,0,0,1,0,0,1,0
1784464080000,0.000235880203651339,0.013529641185647426,-0.0021372854914196568,1,0.00022247563226240687,1,1.3404571388932136e-05,-0.0011709423114083985,2.277347209870672e-05,0,1,0,0,1,0,0,1,0
1784464140000,0.00023557006822710089,0.013023919416204078,-0.002635189920788374,1,0.00022242513043743703,1,1.3144937789663858e-05,-0.0018516589444267997,-0.000647218041077157,0,1,0,0,1,0,0,1,0
1784464200000,0.00023557776090719622,0.01324495254921352,-0.0024175734711667134,1,0.00022242490061467177,1,1.3152860292524446e-05,-0.0016374429558091257,-0.0004363054596394221,0,1,0,0,1,0,0,1,0
1784464260000,0.00023520652376097078,0.013814331637589338,-0.0018569957242283324,1,0.00022244506258591143,1,1.2761461175059345e-05,-0.0010682224067645948,0.0001241163823161905,0,1,0,0,1,0,0,1,0
1784464320000,0.00023496321545058758,0.013400001871835474,-0.0022649208681572264,1,0.00022244506258591143,1,1.2518152864676149e-05,-0.0014825521725184594,-0.00028380876161270344,0,1,0,0,1,0,0,1,0
1784464380000,0.00023484006213859748,0.013019654535852283,-0.0026393888755223667,1,0.00022243962101947492,1,1.240044111912257e-05,-0.0017948906823991497,-0.0005913980028356184,0,1,0,0,1,0,0,1,0
1784464440000,0.00023484217747094335,0.013019812493743366,-0.0026392333593109308,1,0.00022244703821503473,1,1.2395139255908622e-05,-0.001794574206423873,-0.0005910866025354601,0,1,0,0,1,0,0,1,0
1784464500000,0.0002349506488253689,0.013019654535852283,-0.0026393888755223667,1,0.00022245092514914996,1,1.2499723676218956e-05,-0.0017948906823991497,-0.0005913980028356184,0,1,0,0,1,0,0,1,0
1784464560000,0.00023443471970803202,0.012419296777481124,-0.0032304664307320195,1,0.00022244021922646382,1,1.1994500481568197e-05,-0.0024719770063786565,-0.0012579291732571422,0,1,0,0,1,0,0,1,0
1784464620000,0.0002348033558641274,0.01237622720946792,-0.0032728702384786697,1,0.000222440219265462,1,1.2363136598665393e-05,-0.0025148880323361458,-0.0013001770733418686,0,1,0,0,1,0,0,1,0
1784464680000,0.0002344918880996366,0.011887888605071334,-0.0037536602080867234,1,0.00022257746727890592,1,1.1914420820730687e-05,-0.003003226636732732,-0.0017809670429499223,0,1,0,0,1,0,0,1,0
1784464740000,0.00023423010965652964,0.012342310531890985,-0.003306262639232181,1,0.00022257632860950494,1,1.1653781047024696e-05,-0.0027203761873178176,-0.0015022900559906406,0,1,0,0,1,0,0,1,0
1784464800000,0.00023424727932873086,0.012197519769613648,-0.003448815256551605,1,0.00022257639633479958,1,1.1670882993931284e-05,-0.0028521622737457918,-0.001632054087993591,0,1,0,0,1,0,0,1,0
1784464860000,0.0002343484717560346,0.012301455784456256,-0.0033464858626280846,1,0.00022304432355256128,1,1.1304148203473323e-05,-0.002748384850504059,-0.0015298806504538956,0,1,0,0,1,0,0,1,0
1784464920000,0.00023442006976526463,0.012220544724529409,-0.0034261462165156367,1,0.00022308106811143462,1,1.1339001653830008e-05,-0.002727807418247368,-0.0015097388827074079,0,1,0,0,1,0,0,1,0
1784464980000,0.0002346845664039802,0.012134758431204228,-0.0035106064434755053,1,0.0002230009452045251,1,1.1683621199455092e-05,-0.002572956828852741,-0.0013575607389305633,0,1,0,0,1,0,0,1,0
1784465040000,0.00023478335553064983,0.012108583891571895,-0.0035363763826141144,1,0.00022300094906718535,1,1.178240646346448e-05,-0.0025989728837737675,-0.0013831748267988018,0,1,0,0,1,0,0,1,0
1784465100000,0.00023468831852261582,0.011681783101941077,-0.003956579775972401,1,0.0002230436605943235,1,1.1644657928292331e-05,-0.0030257736734045863,-0.0018033782201570883,0,1,0,0,1,0,0,1,0
1784465160000,0.00023454872321966762,0.011289186001496497,-0.0043431081935325815,1,0.0002230540594837129,1,1.149466373595473e-05,-0.0034183707738491657,-0.002189906637717269,0,1,0,0,1,0,0,1,0
