ticker,total,complete,long,short,no_trade,long_complete,short_complete,bull_pos,bear_pos,bear_neg_long,absent_long,min_long_bucket,bull_neg,absent_short,min_short_bucket,target_rate,short_target_rate,median_mfe5,median_mfe10,bull_pos_rate,bear_pos_rate,bear_neg_long_rate,bull_neg_rate
NESTLEIND.NS,1219,1210,1002,217,0,993,217,464,186,314,6,186,217,0,217,0.28298086606243705,0.2764976958525346,1.71600155178065,2.671954497845198,0.21767241379310345,0.3172043010752688,0.35668789808917195,0.2764976958525346
NMDC.NS,1218,1209,1055,163,0,1046,163,571,128,318,8,128,163,0,163,0.30019120458891013,0.17791411042944785,3.1103493470040666,4.654696917738889,0.3327495621716287,0.203125,0.27044025157232704,0.17791411042944785
NTPC.NS,1219,1210,993,226,0,984,226,566,121,268,29,121,226,0,226,0.3170731707317073,0.2079646017699115,2.2371772417138347,3.4086454843805507,0.36395759717314485,0.36363636363636365,0.1791044776119403,0.2079646017699115
OFSS.NS,1217,1208,1069,148,0,1061,147,511,131,390,9,131,147,0,147,0.3223374175306315,0.25170068027210885,2.6839190869024745,4.020716795862226,0.36007827788649704,0.3511450381679389,0.25384615384615383,0.25170068027210885
ONGC.NS,1219,1210,1002,217,0,993,217,529,138,297,29,138,217,0,217,0.31722054380664655,0.25806451612903225,2.4944871053001987,3.873659047547859,0.29300567107750475,0.34782608695652173,0.3367003367003367,0.25806451612903225
PAGEIND.NS,1215,1206,1040,175,0,1035,171,467,115,424,28,115,171,0,171,0.27053140096618356,0.19298245614035087,2.209293758000378,3.137346192218158,0.29336188436830835,0.33043478260869563,0.20047169811320756,0.19298245614035087
PERSISTENT.NS,1218,1209,1026,192,0,1017,192,517,159,312,29,159,192,0,192,0.3529990167158309,0.3072916666666667,3.43102325262498,5.293836598184424,0.3288201160541586,0.4276729559748428,0.34294871794871795,0.3072916666666667
PETRONET.NS,1217,1208,1002,215,0,994,214,441,195,329,18,195,214,0,214,0.26961770623742454,0.1822429906542056,2.319209889835486,3.46939164850746,0.24489795918367346,0.2,0.3373860182370821,0.1822429906542056
PIDILITIND.NS,1218,1209,1037,181,0,1028,181,417,199,383,22,199,181,0,181,0.2607003891050584,0.24861878453038674,2.0250428573185038,3.0199476892018984,0.2589928057553957,0.21608040201005024,0.2845953002610966,0.24861878453038674
PNB.NS,1218,1209,1037,181,0,1028,181,502,147,350,29,147,181,0,181,0.30836575875486383,0.19337016574585636,2.910043266650063,4.458421929632391,0.3545816733067729,0.2108843537414966,0.2542857142857143,0.19337016574585636
POLYCAB.NS,1218,1209,1028,190,0,1019,190,599,172,219,19,172,190,0,190,0.3464180569185476,0.2,3.0548960607919216,4.765140575893994,0.34557595993322204,0.37209302325581395,0.3333333333333333,0.2
POWERGRID.NS,1218,1209,1016,202,0,1007,202,574,128,276,28,128,202,0,202,0.30089374379344586,0.13366336633663367,2.481218331279809,3.549051111293878,0.31010452961672474,0.28125,0.2717391304347826,0.13366336633663367
RECLTD.NS,1218,1209,1018,200,0,1014,195,472,176,337,25,176,195,0,195,0.3323471400394477,0.2564102564102564,2.9875192688873344,4.51967313856877,0.3855932203389831,0.26704545454545453,0.29080118694362017,0.2564102564102564
RELIANCE.NS,1219,1210,1043,176,0,1035,175,374,199,433,29,199,175,0,175,0.3004830917874396,0.2914285714285714,1.7956919455767333,2.8160586033750747,0.2647058823529412,0.25125628140703515,0.3441108545034642,0.2914285714285714
SAIL.NS,1218,1209,1015,203,0,1006,203,459,183,335,11,183,203,0,203,0.2952286282306163,0.3497536945812808,3.224922425389553,4.9855715006188674,0.2636165577342048,0.33879781420765026,0.28059701492537314,0.3497536945812808
SBILIFE.NS,1218,1209,1017,201,0,1014,195,482,186,317,17,186,195,0,195,0.2869822485207101,0.14358974358974358,2.2159742648350234,3.1869015794328797,0.29045643153526973,0.3279569892473118,0.2555205047318612,0.14358974358974358
SBIN.NS,1219,1210,1008,211,0,999,211,571,143,256,29,143,211,0,211,0.3113113113113113,0.26540284360189575,2.0778911705824825,3.106060496250425,0.29597197898423816,0.3076923076923077,0.30859375,0.26540284360189575
