source_type,s1_edge_preservation,s1_signature_overlap,s2_dist,returned_to_same_region,retained_elite,s2_region
Random,0.5833,0.6000,959.2823,false,false,646059830134707426
Random,0.5833,0.6000,835.0131,false,false,6524965636449191191
Random,0.7222,0.8000,822.9282,false,false,16706677395443074754
Random,0.5833,1.0000,803.7866,false,true,199200466592558314
Random,0.5278,0.6000,862.1026,false,false,18079365191965167799
Random,0.5278,0.8000,868.2540,false,false,11943250087020327723
Random,0.5000,0.4000,820.5115,false,false,7282138676726714151
Random,0.6667,0.8000,869.1184,false,false,2270251214915821782
Random,0.5278,0.6000,870.9834,false,false,13744414727527436921
Random,0.6944,0.8000,850.6157,false,false,48652629942896382
Random,0.5278,0.4000,866.4172,false,false,12302447914883094689
Random,0.5833,0.6000,967.7482,false,false,4218246897178774047
Random,0.5000,0.4000,828.7001,false,false,10121627615558797951
Random,0.5556,0.8000,797.8718,true,true,10264966111433119558
Random,0.5000,0.4000,896.5626,false,false,3522240782860868202
Random,0.5000,0.4000,847.1517,false,false,7964524033956625804
Random,0.5556,0.4000,843.6119,false,false,8292249681190456911
Random,0.5278,0.0000,863.5242,false,false,12640348758888012999
Random,0.6389,0.8000,797.4513,true,true,10264966111433119558
Random,0.5000,0.8000,844.5390,false,false,5470990444918039040
Random,0.6111,0.6000,810.5735,false,false,6307814058645704904
Random,0.5833,0.4000,797.4513,true,true,10264966111433119558
Random,0.5556,0.4000,804.7916,false,true,8518770641127047337
Random,0.5556,0.2000,892.0673,false,false,17582383696399613966
Random,0.5278,0.6000,812.6236,true,false,10264966111433119558
Random,0.5000,0.6000,855.2296,false,false,10194938192808922639
Random,0.5556,0.4000,831.8437,false,false,7112352611027625214
Random,0.6111,0.6000,818.2542,false,false,6846163816978031843
Random,0.5278,0.8000,861.1325,false,false,8883978495900285761
Random,0.5278,0.4000,828.7001,false,false,10121627615558797951
Random,0.5000,0.6000,905.9833,false,false,12543149291676607743
Random,0.5556,0.6000,936.4421,false,false,4437719469580327166
Random,0.5278,0.4000,855.1927,false,false,194364554555738170
Random,0.5556,0.4000,867.3518,false,false,3352101653175724685
Random,0.5000,0.0000,865.3456,false,false,5985601590573949866
Random,0.6389,1.0000,879.3343,false,false,3427774305207438393
Random,0.5278,0.6000,797.4513,true,true,10264966111433119558
Random,0.5278,0.6000,957.4663,false,false,15970080985083952473
Random,0.5278,0.8000,848.4150,false,false,4009591388271689153
Random,0.5833,0.2000,924.3213,false,false,7003718475390676001
Random,0.5278,0.6000,846.8109,false,false,847697685391841675
Random,0.5556,0.4000,843.0768,false,false,3484281858052700849
Random,0.5556,0.6000,864.2864,false,false,9085871769723918268
Random,0.5278,0.6000,828.5087,false,false,15035871632325471732
Random,0.5833,0.4000,877.4703,false,false,6916882220877260901
Random,0.5278,0.4000,884.8553,false,false,6801667105740245389
Random,0.5278,0.8000,797.8718,true,true,10264966111433119558
Random,0.5556,0.4000,883.3420,false,false,16705290878545860903
Random,0.6111,0.8000,801.8739,false,true,11824326250485796480
Random,0.5278,0.4000,863.0656,false,false,815511221344663013
Random,0.5556,0.4000,917.5307,false,false,4091229324803829654
Random,0.7500,0.6000,842.5190,false,false,9174655252686257434
Random,0.5000,0.4000,830.9622,false,false,5398611078608603760
Random,0.5278,0.6000,828.7001,false,false,10121627615558797951
Random,0.5833,0.6000,797.8718,true,true,10264966111433119558
Random,0.5278,0.4000,861.7242,false,false,1461797155033007136
Random,0.5000,0.6000,862.2192,false,false,10709143083944910762
