source_type,s1_edge_preservation,backbone_broken,placebo_broken,s2_dist,target_basin_hash,elite_reconstruction
BackbonePreserver,0.7500,0,6,803.1277,4975891338178397411,1
BackbonePreserver,0.7500,0,6,816.4972,16588847154838108504,0
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,6,806.7850,7019505870457465348,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,837.8491,193405139626264173,0
BackbonePreserver,0.7500,0,6,830.3328,5739212504447643914,0
BackbonePreserver,0.7222,0,7,866.2487,12712410742063293729,0
BackbonePreserver,0.6944,0,6,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6111,0,10,810.6053,10264966111433119558,0
BackbonePreserver,0.6944,0,8,831.4938,15865672196618607671,0
BackbonePreserver,0.7500,0,5,858.9745,15428664137859285929,0
BackbonePreserver,0.7500,0,7,804.0648,6063581546530241427,1
BackbonePreserver,0.7222,0,5,803.7866,199200466592558314,1
BackbonePreserver,0.7222,0,6,830.6709,11741168474939349512,0
BackbonePreserver,0.6944,0,7,807.8428,1547347882701649523,1
BackbonePreserver,0.6389,0,8,911.5608,4304857147611416496,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,8,854.1142,5459299833285040038,0
BackbonePreserver,0.6667,0,10,825.6513,1547347882701649523,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6389,0,9,817.8002,12333060991338731011,0
BackbonePreserver,0.6389,0,9,930.2744,5550668689955672604,0
BackbonePreserver,0.6944,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,8,848.4980,18132615387910801729,0
BackbonePreserver,0.7500,0,6,801.8739,11824326250485796480,1
BackbonePreserver,0.7222,0,6,803.7866,199200466592558314,1
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,5,846.6440,10193339775716985021,0
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,5,858.9745,15428664137859285929,0
BackbonePreserver,0.6944,0,9,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,815.1484,11824326250485796480,0
BackbonePreserver,0.7500,0,7,804.0648,6063581546530241427,1
BackbonePreserver,0.7222,0,6,828.8892,167170242380040613,0
BackbonePreserver,0.7222,0,5,882.9100,1780495502382711778,0
BackbonePreserver,0.7500,0,6,820.4407,6251334824792168828,0
BackbonePreserver,0.6389,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.6389,0,9,820.9992,16153310431873527193,0
BackbonePreserver,0.7222,0,7,826.0082,5397702475199642,0
BackbonePreserver,0.7222,0,5,882.2986,7008376814418440272,0
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6111,0,9,821.7963,10264966111433119558,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,854.6170,2055257113323394818,0
BackbonePreserver,0.7222,0,7,828.8892,167170242380040613,0
BackbonePreserver,0.7500,0,5,826.6984,167170242380040613,0
BackbonePreserver,0.6944,0,6,894.4817,15345722007275874631,0
BackbonePreserver,0.7500,0,5,856.3183,6525921369121643958,0
BackbonePreserver,0.7500,0,6,834.3771,17491741963748787141,0
BackbonePreserver,0.7222,0,5,846.6440,10193339775716985021,0
BackbonePreserver,0.7222,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,869.4031,6758715437398912598,0
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,834.3771,17491741963748787141,0
BackbonePreserver,0.7222,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,864.3078,14223905124652714034,0
BackbonePreserver,0.7500,0,6,834.3771,17491741963748787141,0
BackbonePreserver,0.6944,0,8,817.6488,18330457431737338550,0
BackbonePreserver,0.7500,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.7500,0,5,812.2031,10264966111433119558,0
BackbonePreserver,0.7222,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,828.3204,1941884731723026855,0
BackbonePreserver,0.7500,0,5,828.3204,1941884731723026855,0
BackbonePreserver,0.7500,0,6,828.3204,1941884731723026855,0
BackbonePreserver,0.6944,0,6,809.4431,11824326250485796480,1
BackbonePreserver,0.7500,0,7,820.9992,16153310431873527193,0
BackbonePreserver,0.7222,0,8,801.8739,11824326250485796480,1
