ID,Path,Type,Category,Owner,Lifecycle,Confidence,Evidence
ART-0137,.venv_test/lib/python3.14/site-packages/pygments/style.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0138,.venv_test/lib/python3.14/site-packages/pygments/util.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0139,.venv_test/lib/python3.14/site-packages/pygments/sphinxext.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0140,.venv_test/lib/python3.14/site-packages/pygments/cmdline.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0141,.venv_test/lib/python3.14/site-packages/pygments/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0142,.venv_test/lib/python3.14/site-packages/pygments/unistring.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0143,.venv_test/lib/python3.14/site-packages/pygments/lexer.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0144,.venv_test/lib/python3.14/site-packages/pygments/regexopt.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0145,.venv_test/lib/python3.14/site-packages/pygments/plugin.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0146,.venv_test/lib/python3.14/site-packages/pygments/filter.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0147,.venv_test/lib/python3.14/site-packages/pygments/__main__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0148,.venv_test/lib/python3.14/site-packages/pygments/filters/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0149,.venv_test/lib/python3.14/site-packages/pygments/lexers/soong.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0150,.venv_test/lib/python3.14/site-packages/pygments/lexers/c_like.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0151,.venv_test/lib/python3.14/site-packages/pygments/lexers/ampl.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0152,.venv_test/lib/python3.14/site-packages/pygments/lexers/agile.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0153,.venv_test/lib/python3.14/site-packages/pygments/lexers/graphics.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0154,.venv_test/lib/python3.14/site-packages/pygments/lexers/hdl.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0155,.venv_test/lib/python3.14/site-packages/pygments/lexers/ecl.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
