evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
TIME006-20260814T101500Z-gen20260820T072246895413Z-LT_NS,2026-08-14T10:15:00Z,LT.NS,LONG,Buy,Favourable,0.413793,58,Exact,0.957549,4.0,4057.0000,4192.2856,3915.7168,HORIZON,4,false,false,true,0.007321,-0.007641,-0.003993,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-LUPIN_NS,2026-08-14T10:15:00Z,LUPIN.NS,LONG,NoTrade,Unfavourable,0.297297,74,Exact,1.100162,4.0,2235.0000,2323.7081,2154.3682,NO_TRADE,4,false,false,false,0.013870,-0.008949,-0.005817,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-M&M_NS,2026-08-14T10:15:00Z,M&M.NS,SHORT,NoTrade,Unfavourable,0.220238,168,StateOnly,1.233442,3.0,3428.3000,3266.0582,3559.8360,NO_TRADE,3,false,false,false,0.011668,-0.006884,0.001984,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-MAHABANK_NS,2026-08-14T10:15:00Z,MAHABANK.NS,LONG,Buy,Favourable,0.406780,118,Exact,1.147134,3.0,80.1200,84.5244,76.2805,HORIZON,3,false,false,true,0.025087,-0.005492,0.004618,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-MARICO_NS,2026-08-14T10:15:00Z,MARICO.NS,SHORT,NoTrade,Unfavourable,0.177083,192,StateOnly,0.989003,3.0,865.2000,835.7653,894.9620,NO_TRADE,3,false,false,false,0.027335,-0.002485,0.027335,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-MARUTI_NS,2026-08-14T10:15:00Z,MARUTI.NS,SHORT,NoTrade,Unfavourable,0.257732,194,StateOnly,1.147840,4.0,13834.0000,13425.4551,14189.9249,NO_TRADE,4,false,false,false,0.014891,-0.006217,0.011855,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-MPHASIS_NS,2026-08-14T10:15:00Z,MPHASIS.NS,SHORT,NoTrade,Unfavourable,0.256098,164,StateOnly,1.513040,4.0,2545.0000,2384.9960,2650.7500,NO_TRADE,4,false,false,false,0.044401,-0.000393,0.042397,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-MRF_NS,2026-08-14T10:15:00Z,MRF.NS,SHORT,NoTrade,Unfavourable,0.290780,141,StateOnly,1.382578,4.0,133490.0000,128414.6149,137160.9568,NO_TRADE,4,false,false,false,0.007791,-0.003071,0.003671,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-MUTHOOTFIN_NS,2026-08-14T10:15:00Z,MUTHOOTFIN.NS,LONG,NoTrade,Unfavourable,0.205882,102,Exact,1.049665,3.0,2842.0000,2986.4909,2704.3457,NO_TRADE,3,false,false,false,0.030647,-0.004539,0.018332,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-NAUKRI_NS,2026-08-14T10:15:00Z,NAUKRI.NS,SHORT,Watch,Mixed,0.322835,127,StateOnly,1.464591,3.0,1343.0000,1259.2506,1400.1828,HORIZON,3,false,false,true,0.008861,-0.023083,-0.008861,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-NESTLEIND_NS,2026-08-14T10:15:00Z,NESTLEIND.NS,SHORT,Watch,Mixed,0.314136,191,StateOnly,0.853707,4.0,1499.1000,1463.2360,1541.1097,TARGET,2,true,false,false,0.030752,-0.003068,0.023924,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-NMDC_NS,2026-08-14T10:15:00Z,NMDC.NS,LONG,NoTrade,Unfavourable,0.222222,45,Exact,1.499706,3.0,84.4000,89.4598,81.0261,NO_TRADE,3,false,false,false,0.013033,-0.039692,-0.002488,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-NTPC_NS,2026-08-14T10:15:00Z,NTPC.NS,LONG,NoTrade,Unfavourable,0.207921,101,Exact,0.892475,4.0,340.0000,348.9034,330.0239,NO_TRADE,4,false,false,false,0.000882,-0.017941,-0.010294,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-OFSS_NS,2026-08-14T10:15:00Z,OFSS.NS,SHORT,NoTrade,Unfavourable,0.293651,126,StateOnly,1.189759,3.5,11828.0000,11243.7809,12319.0397,NO_TRADE,4,false,false,false,0.018093,-0.007778,0.001353,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-ONGC_NS,2026-08-14T10:15:00Z,ONGC.NS,LONG,NoTrade,Unfavourable,0.283019,106,Exact,0.949220,3.0,236.4000,245.2027,227.1264,NO_TRADE,3,false,false,false,0.020728,-0.001058,0.013113,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-PAGEIND_NS,2026-08-14T10:15:00Z,PAGEIND.NS,LONG,NoTrade,Unfavourable,0.204545,132,Exact,1.235050,3.0,36750.0000,38256.4198,35530.2762,NO_TRADE,3,false,false,false,0.025578,-0.008844,-0.008844,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-PERSISTENT_NS,2026-08-14T10:15:00Z,PERSISTENT.NS,SHORT,Watch,Mixed,0.327778,180,StateOnly,1.164087,3.0,5580.0000,5282.7748,5835.3291,HORIZON,3,false,false,true,0.024642,-0.005914,0.024642,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-PETRONET_NS,2026-08-14T10:15:00Z,PETRONET.NS,LONG,NoTrade,Unfavourable,0.272727,44,Exact,1.120883,3.0,282.6000,291.4742,274.6829,NO_TRADE,3,false,false,false,0.015393,-0.003362,0.012916,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-PIDILITIND_NS,2026-08-14T10:15:00Z,PIDILITIND.NS,SHORT,NoTrade,Unfavourable,0.277778,162,StateOnly,1.077926,3.0,1693.0000,1635.0726,1746.7396,NO_TRADE,3,false,false,false,0.021087,-0.004135,0.011223,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-PNB_NS,2026-08-14T10:15:00Z,PNB.NS,SHORT,NoTrade,Unfavourable,0.208333,168,StateOnly,1.243627,4.0,118.0000,111.6178,123.1319,NO_TRADE,4,false,false,false,0.022712,-0.000508,0.011949,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-POLYCAB_NS,2026-08-14T10:15:00Z,POLYCAB.NS,LONG,Buy,Favourable,0.500000,38,Exact,1.137810,3.0,9240.0000,9667.8748,8863.9487,HORIZON,3,false,false,true,0.016775,-0.020671,-0.010931,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-POWERGRID_NS,2026-08-14T10:15:00Z,POWERGRID.NS,LONG,Watch,Mixed,0.346154,104,Exact,1.041531,4.0,266.0500,273.6329,258.7695,HORIZON,4,false,false,true,0.010900,-0.003571,-0.003007,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-RECLTD_NS,2026-08-14T10:15:00Z,RECLTD.NS,SHORT,Watch,Mixed,0.327869,61,Exact,1.452014,3.0,335.0000,313.5611,349.7649,HORIZON,3,false,false,true,0.005373,-0.020448,-0.010448,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-RELIANCE_NS,2026-08-14T10:15:00Z,RELIANCE.NS,SHORT,Watch,Mixed,0.362637,91,Exact,1.187579,4.0,1308.7000,1262.4330,1347.6590,HORIZON,4,false,false,true,0.008100,-0.015206,-0.005960,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-SAIL_NS,2026-08-14T10:15:00Z,SAIL.NS,LONG,Buy,Favourable,0.476923,65,Exact,1.025640,4.0,169.5100,177.1715,162.0401,HORIZON,4,false,false,true,0.030441,-0.008259,0.005781,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-SBILIFE_NS,2026-08-14T10:15:00Z,SBILIFE.NS,SHORT,NoTrade,Unfavourable,0.200000,65,Exact,1.310392,4.0,1795.0000,1716.2988,1855.0593,NO_TRADE,4,false,false,false,0.024178,-0.002228,0.023900,false
