ticker,direction,n_obs,mae_h300_p25,mae_h300_p50,mae_h300_p75,mae_h300_p90,mae_h300_p95,mae_h60_p50,mae_h60_p75,mfe_h300_p50,win_rate_h300,recovery_rate,mean_ret_h300,mean_time_to_recovery_bars
SIEMENS_NS,SHORT,5,-0.018080,-0.016344,-0.013649,-0.008917,-0.007339,-0.009572,-0.004864,0.000000,0.000000,0.000000,-0.009134,2
SRF_NS,LONG,2,-0.006656,-0.006244,-0.005831,-0.005583,-0.005501,-0.006244,-0.005831,0.019664,1.000000,1.000000,0.010610,7.500000
SUNPHARMA_NS,LONG,3,-0.003519,-0.000792,-0.000396,-0.000158,-0.000079,-0.000792,-0.000396,0.003272,1.000000,1.000000,0.001756,18
SUNPHARMA_NS,SHORT,1,-0.018017,-0.018017,-0.018017,-0.018017,-0.018017,-0.017695,-0.017695,0.000000,0.000000,0.000000,-0.006917,nan
TATACONSUM_NS,LONG,4,-0.003824,-0.000792,0.000000,0.000000,0.000000,-0.000446,0.000000,0.009560,0.750000,0.750000,0.001653,1.333333
TATASTEEL_NS,LONG,5,-0.026908,-0.002852,-0.001509,-0.000897,-0.000693,-0.001829,-0.000489,0.002906,0.400000,0.400000,-0.008910,1.333333
TCS_NS,LONG,1,-0.006341,-0.006341,-0.006341,-0.006341,-0.006341,-0.003759,-0.003759,0.012183,0.000000,0.000000,-0.000996,3
TCS_NS,SHORT,4,-0.017232,-0.013741,-0.010110,-0.004599,-0.002762,-0.013741,-0.010110,0.000862,0.250000,0.250000,-0.003811,6
TECHM_NS,LONG,2,-0.002877,-0.001918,-0.000959,-0.000384,-0.000192,0.000000,0.000000,0.014755,1.000000,1.000000,0.002018,1
TECHM_NS,SHORT,2,-0.005845,-0.004130,-0.002416,-0.001387,-0.001044,-0.003780,-0.001890,0.009799,0.500000,0.500000,-0.000506,17
TITAN_NS,SHORT,4,-0.001802,-0.000751,-0.000549,-0.000459,-0.000429,-0.000600,-0.000450,0.004640,1.000000,1.000000,0.002696,7
TMCV_NS,SHORT,2,-0.018005,-0.012003,-0.006002,-0.002401,-0.001200,-0.009221,-0.004610,0.013740,0.500000,0.500000,0.001375,1
TORNTPHARM_NS,LONG,2,-0.012973,-0.008649,-0.004324,-0.001730,-0.000865,-0.008038,-0.004019,0.008647,0.500000,0.500000,0.002659,1
TORNTPHARM_NS,SHORT,2,-0.009391,-0.008336,-0.007281,-0.006648,-0.006437,-0.008336,-0.007281,0.000712,0.000000,0.000000,-0.001928,17
TRENT_NS,LONG,5,-0.006274,-0.004776,0.000000,0.000000,0.000000,-0.001149,0.000000,0.009113,0.800000,0.800000,0.005778,7.250000
TVSMOTOR_NS,SHORT,4,-0.010477,-0.006312,-0.002813,-0.001125,-0.000563,-0.006227,-0.002686,0.002256,0.750000,0.750000,0.001129,16.333333
ULTRACEMCO_NS,LONG,4,-0.006456,-0.002610,0.000000,0.000000,0.000000,0.000000,0.000000,0.005334,0.750000,0.750000,0.001588,1
UNITDSPR_NS,LONG,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019653,1.000000,1.000000,0.009893,1
UNITDSPR_NS,SHORT,1,-0.002231,-0.002231,-0.002231,-0.002231,-0.002231,-0.000906,-0.000906,0.005228,0.000000,0.000000,-0.001603,1
UPL_NS,LONG,4,-0.006583,-0.003713,-0.002092,-0.000837,-0.000418,-0.002070,-0.000915,0.003603,0.500000,0.500000,0.002234,1
VBL_NS,LONG,5,-0.004557,-0.002085,-0.001854,-0.000742,-0.000371,-0.002085,0.000000,0.005275,0.600000,0.600000,-0.000367,1.500000
VEDL_NS,SHORT,5,-0.015527,-0.002569,-0.002020,-0.000808,-0.000404,-0.000367,-0.000184,0.008081,0.400000,0.400000,-0.000135,1
WIPRO_NS,LONG,2,-0.001886,-0.001257,-0.000629,-0.000251,-0.000126,-0.001257,-0.000629,0.016123,1.000000,1.000000,0.006771,1
WIPRO_NS,SHORT,3,-0.012381,-0.011609,-0.007111,-0.004412,-0.003513,-0.011609,-0.007111,0.000000,0.000000,0.000000,-0.004487,2
